field_1,X,Y,Z,fault_name
"495",320622.619999999995343,6614709.070000000298023,263.459999999999980,Zuleika Fault
"496",321345.440000000002328,6615396.719999999739230,-925.909999999999968,Zuleika Fault
"497",322048.510000000009313,6615929.360000000335276,-1739.920000000000073,Zuleika Fault
"498",323000.099999999976717,6616653.719999999739230,-2517.280000000000200,Zuleika Fault
"499",324125.840000000025611,6617494.040000000037253,-3403.469999999999800,Zuleika Fault
"500",326233.489999999990687,6619115.009999999776483,-4787.180000000000291,Zuleika Fault
"501",327650.650000000023283,6620080.669999999925494,-5493.470000000000255,Zuleika Fault
"502",328503.080000000016298,6620461.440000000409782,-5954.329999999999927,Zuleika Fault
"503",330702.700000000011642,6621414.059999999590218,-7472.409999999999854,Zuleika Fault
"531",308172.380000000004657,6629403.969999999739230,350.009999999999991,Zuleika Fault
"532",308839.840000000025611,6629835.030000000260770,-267.750000000000000,Zuleika Fault
"533",310781.679999999993015,6630961.790000000037253,-1715.789999999999964,Zuleika Fault
"534",312409.570000000006985,6631873.490000000223517,-3043.980000000000018,Zuleika Fault
"535",314138.900000000023283,6632739.259999999776483,-4129.829999999999927,Zuleika Fault
"536",314167.320000000006985,6632750.830000000074506,-4157.579999999999927,Zuleika Fault
"537",315152.880000000004657,6633473.950000000186265,-4941.300000000000182,Zuleika Fault
"538",317020.510000000009313,6634775.709999999962747,-6157.800000000000182,Zuleika Fault
"539",318038.119999999995343,6635654.940000000409782,-6920.819999999999709,Zuleika Fault
"540",318802.209999999962747,6636039.330000000074506,-7232.250000000000000,Zuleika Fault
"553",316059.210000000020955,6620304.049999999813735,414.209999999999980,Zuleika Fault
"554",317075.159999999974389,6620323.530000000260770,-1043.940000000000055,Zuleika Fault
"555",318205.690000000002328,6620359.719999999739230,-2213.070000000000164,Zuleika Fault
"556",320209.869999999995343,6620427.519999999552965,-3353.550000000000182,Zuleika Fault
"557",310995.092408637516201,6625806.561178209260106,430.000000000000000,Zuleika Fault
"558",311509.270804563420825,6625160.295275663957000,423.000000000000000,Zuleika Fault
"559",311824.338167991954833,6624764.290123367682099,421.000000000000000,Zuleika Fault
"560",312250.765944839396980,6624271.521216649562120,418.000000000000000,Zuleika Fault
"561",312820.947536998544820,6623612.634120065718889,415.000000000000000,Zuleika Fault
"562",313040.735224524978548,6623366.755487048067153,409.000000000000000,Zuleika Fault
"563",313192.805410408298485,6623209.606696602888405,408.000000000000000,Zuleika Fault
"564",313692.969237554527353,6622692.739172556437552,408.000000000000000,Zuleika Fault
"565",314916.121602533617988,6621428.737859231419861,394.000000000000000,Zuleika Fault
"566",315513.624158320890274,6620811.280838487669826,389.000000000000000,Zuleika Fault
"567",316111.126714108861051,6620193.823817762546241,385.000000000000000,Zuleika Fault
"568",316504.070549650350586,6619794.579101763665676,384.000000000000000,Zuleika Fault
"569",316995.289439834596124,6619295.483484119176865,381.000000000000000,Zuleika Fault
"570",317339.397549593355507,6618968.065711216069758,375.000000000000000,Zuleika Fault
"571",317767.921210409898777,6618560.326809749938548,378.000000000000000,Zuleika Fault
"572",317996.774278991972096,6618342.573842269368470,373.000000000000000,Zuleika Fault
"573",318225.627347572823055,6618124.820874791592360,371.000000000000000,Zuleika Fault
"574",318191.921598512912169,6617818.143903446383774,372.000000000000000,Zuleika Fault
"575",318172.321536103845574,6617639.811740832403302,372.000000000000000,Zuleika Fault
"576",318154.730679220345337,6617465.062642116099596,370.000000000000000,Zuleika Fault
"577",318136.225499922176823,6617263.855400051921606,357.000000000000000,Zuleika Fault
"578",318401.078471620741766,6616932.387634868733585,367.000000000000000,Zuleika Fault
"579",318804.980468165187631,6616430.925915477797389,380.000000000000000,Zuleika Fault
"580",318998.677540175442118,6616224.280524891801178,380.000000000000000,Zuleika Fault
"581",319626.722059624851681,6615554.252301557920873,386.000000000000000,Zuleika Fault
"582",320451.412742822139990,6614691.326196346431971,384.000000000000000,Zuleika Fault
"583",320462.823647671437357,6614605.327596900984645,385.000000000000000,Zuleika Fault
"584",320763.357513232738711,6614334.081213532015681,389.000000000000000,Zuleika Fault
"585",321063.891378791071475,6614062.834830166772008,386.000000000000000,Zuleika Fault
"586",321320.455873240425717,6613777.480016527697444,392.000000000000000,Zuleika Fault
"587",321729.682741162599996,6613322.331860194914043,395.000000000000000,Zuleika Fault
"588",321979.712640025652945,6613077.972350990399718,398.000000000000000,Zuleika Fault
"589",322526.174442975257989,6612543.903671313077211,397.000000000000000,Zuleika Fault
"590",323248.418094070337247,6611850.624031146056950,400.000000000000000,Zuleika Fault
"591",323970.661745163029991,6611157.344390999525785,403.000000000000000,Zuleika Fault
"592",324758.417319011117797,6610267.044455200433731,392.540560000000028,Zuleika Fault
"593",325761.432563196867704,6609091.851090045645833,385.984950000000026,Zuleika Fault
"594",326259.717731326934882,6608325.206049939617515,376.426850000000002,Zuleika Fault
"595",326760.646516073262319,6607515.958546127192676,375.346740000000011,Zuleika Fault
"596",327012.332476101699285,6607109.361358878202736,373.537869999999998,Zuleika Fault
"597",327463.470433631911874,6606096.848783485591412,369.796299999999974,Zuleika Fault
"598",327753.041217127291020,6605507.858149341307580,369.813049999999976,Zuleika Fault
"599",327869.851401549240109,6605270.264757609926164,369.025939999999991,Zuleika Fault
"600",327951.434792548127007,6605104.323109018616378,368.088259999999991,Zuleika Fault
"601",328042.612000630237162,6604918.867515202611685,366.013149999999996,Zuleika Fault
"727",310314.919047829811461,6626716.632896655239165,434.000000000000000,Zuleika Fault
"728",309634.745687022106722,6627626.704615100286901,435.999970000000019,Zuleika Fault
"729",310669.138826721347868,6626242.686956607736647,433.000000000000000,Zuleika Fault
"730",308720.813288798788562,6628711.825591919012368,426.026090000000011,Zuleika Fault
"731",307897.868307512428146,6629511.235642714425921,419.948879999999974,Zuleika Fault
"732",306989.044177393196151,6630348.821142870932817,413.000000000000000,Zuleika Fault
"733",305871.119900018267799,6631183.629817404784262,423.757929999999988,Zuleika Fault
"734",303881.789823279075790,6632553.825024954974651,437.930240000000026,Zuleika Fault
"735",305019.884417162335012,6631769.976497085765004,424.820859999999982,Zuleika Fault
"736",302534.168309241882525,6633444.596939736977220,438.178620000000024,Zuleika Fault
"737",304297.421306160627864,6632267.576399544253945,433.910889999999995,Zuleika Fault
"738",303370.433249681605957,6632891.846828965470195,443.039220000000000,Zuleika Fault
"739",302859.076695931842551,6633229.868619856424630,438.122250000000008,Zuleika Fault
"740",306319.415931324416306,6630874.835253779776394,416.744660000000010,Zuleika Fault
"741",307651.223742025613319,6629750.826562044210732,416.863130000000012,Zuleika Fault
"742",307320.133959709375631,6630049.823852457106113,414.820100000000025,Zuleika Fault
"743",309372.873698857554700,6627984.325941604562104,433.004030000000000,Zuleika Fault
"744",309046.843493828200735,6628348.075766760855913,428.023009999999999,Zuleika Fault
"745",308186.018515412171837,6629231.326076981611550,416.984039999999993,Zuleika Fault
"746",302209.259922551922500,6633659.325259617529809,435.206909999999993,Zuleika Fault
"747",301540.254400593927130,6634063.928490253165364,426.205870000000004,Zuleika Fault
"748",300002.607888029131573,6634961.088841848075390,414.874419999999986,Zuleika Fault
"749",300955.279023366456386,6634417.627897136844695,424.115689999999972,Zuleika Fault
"750",300370.303646138985641,6634771.327304020524025,415.013179999999977,Zuleika Fault
"751",299431.500354346528184,6635255.827743416652083,411.823030000000017,Zuleika Fault
"752",298492.697062554070726,6635740.328182812780142,407.004239999999982,Zuleika Fault
"753",297406.067222174955532,6636246.321766534820199,409.093320000000006,Zuleika Fault
"754",296345.930561633314937,6636675.333151611499488,407.878109999999992,Zuleika Fault
"755",295850.848419533926062,6636898.831508966162801,412.962980000000016,Zuleika Fault
"756",294933.373139482573606,6637312.831815656274557,416.091769999999997,Zuleika Fault
"757",295355.766277434478980,6637122.329866320826113,419.436100000000010,Zuleika Fault
"758",294510.980001530726440,6637503.333764992654324,416.050169999999980,Zuleika Fault
"759",293666.193725626915693,6637884.337663665413857,421.906709999999975,Zuleika Fault
"760",292868.299927403801121,6638318.413451831787825,418.924500000000023,Zuleika Fault
"761",292104.326377051474992,6638734.035708510316908,426.997340000000008,Zuleika Fault
"762",290911.360447911429219,6639474.367214815691113,431.092469999999992,Zuleika Fault
"763",290081.991210423992015,6640016.892295186407864,445.114530000000002,Zuleika Fault
"764",289473.111753352684900,6640561.907337583601475,452.103420000000028,Zuleika Fault
"765",288359.178314312652219,6641622.499784584157169,465.897029999999972,Zuleika Fault
"766",287457.526893407572061,6642557.933250224217772,472.892460000000028,Zuleika Fault
"767",288681.669050097349100,6641287.926334558986127,470.025019999999984,Zuleika Fault
"768",286383.903008706751280,6643739.237244459800422,455.168520000000001,Zuleika Fault
"769",286855.322469035978429,6643182.700381571426988,462.088500000000010,Zuleika Fault
"770",287768.495759566663764,6642235.313358064740896,468.860470000000021,Zuleika Fault
"771",288077.814643808582332,6641914.405267459340394,463.865329999999972,Zuleika Fault
"772",286147.228987705952022,6644018.644074807874858,451.097050000000024,Zuleika Fault
"773",285509.866001158196013,6644771.086489481851459,449.821169999999995,Zuleika Fault
"774",285438.270969757519197,6644855.608401552774012,449.807459999999992,Zuleika Fault
"775",284969.074603529239539,6645409.520778349600732,451.925839999999994,Zuleika Fault
"776",284719.599050027376506,6645763.254772121086717,453.181730000000016,Zuleika Fault
"777",284421.384357397269923,6646186.096500476822257,455.168639999999982,Zuleika Fault
"778",284345.921493103785906,6646293.096084176562726,457.072479999999985,Zuleika Fault
"779",284091.445388328225818,6646653.920411843806505,453.884340000000009,Zuleika Fault
"780",283951.202655602537561,6646852.772047798149288,449.837220000000002,Zuleika Fault
"781",283496.217434225080069,6647497.900346765294671,449.081479999999999,Zuleika Fault
"782",285912.198536282638088,6644296.110579960048199,447.964170000000024,Zuleika Fault
"783",280698.819019118265714,6653021.246246729977429,431.114530000000002,Zuleika Fault
"784",280921.501058796129655,6652450.822559624910355,437.033389999999997,Zuleika Fault
"785",281338.816484712704550,6651433.462948564440012,441.867099999999994,Zuleika Fault
"786",281642.449594267993234,6650736.231363657861948,437.007720000000006,Zuleika Fault
"787",281851.526048039027955,6650256.129877220839262,438.821810000000028,Zuleika Fault
"788",282206.425700339139439,6649641.880479008890688,434.084990000000005,Zuleika Fault
"789",282783.167187950748485,6648643.674058143049479,438.858920000000012,Zuleika Fault
"790",283051.741601727029774,6648178.833726607263088,442.984469999999988,Zuleika Fault
"791",282532.671110583120026,6649077.224961278028786,433.108060000000023,Zuleika Fault
"792",281144.183098473993596,6651880.398872518911958,441.041350000000023,Zuleika Fault
"793",283715.332498016883619,6647187.214808554388583,448.886439999999993,Zuleika Fault
"794",287164.491333194484469,6642861.947931829839945,465.002290000000016,Zuleika Fault
"795",282036.202480340492912,6649936.497590545564890,431.978360000000009,Zuleika Fault
"796",282374.127094857045449,6649351.628065420314670,437.039339999999982,Zuleika Fault
"797",283213.816173127212096,6647898.320045338943601,446.227910000000008,Zuleika Fault
"798",289129.275241141091101,6640869.679375388659537,455.062650000000019,Zuleika Fault
"799",294088.586863578821067,6637693.835714329034090,420.525789999999972,Zuleika Fault
"800",293314.442735013901256,6638075.699708124622703,421.904299999999978,Zuleika Fault
"801",292527.586210205627140,6638503.770921285264194,422.948030000000017,Zuleika Fault
"802",291318.099705700122286,6639208.302067295648158,429.077299999999980,Zuleika Fault
"803",291740.729685397294816,6638931.842134448699653,426.061039999999991,Zuleika Fault
"804",290503.650289032259025,6639741.067469317466021,439.096769999999992,Zuleika Fault
"805",289819.504977664677426,6640251.846757213585079,444.112790000000018,Zuleika Fault
"806",289667.143376924155746,6640388.227387768216431,448.112979999999993,Zuleika Fault
"1134",332086.048858063295484,6654099.461643042042851,393.984620000000007,Boorara Fault
"1135",332261.698584859841503,6653574.859287273138762,398.028050000000007,Boorara Fault
"1136",332407.854325386288110,6653037.951957672834396,401.058440000000019,Boorara Fault
"1137",332554.906937370251399,6652497.749944926239550,402.955840000000023,Boorara Fault
"1138",332786.433237085526343,6651635.469826740212739,409.016200000000026,Boorara Fault
"1139",332665.677917565626558,6652090.829553333111107,405.115599999999972,Boorara Fault
"1140",332889.313061793625820,6651198.027664937078953,414.849670000000003,Boorara Fault
"1141",333003.603068423224613,6650712.069726006127894,413.117709999999988,Boorara Fault
"1142",333121.433248766581528,6650121.948920260183513,418.899350000000027,Boorara Fault
"1143",333230.132016843301244,6649396.444238125346601,424.080989999999986,Boorara Fault
"1144",333084.648562943562865,6650367.466530695557594,416.949430000000007,Boorara Fault
"1145",333168.910667112562805,6649805.063182591460645,420.118260000000021,Boorara Fault
"1146",333283.300906396703795,6649041.571050531230867,426.074650000000020,Boorara Fault
"1147",333375.615470743039623,6648425.421945556066930,433.046839999999975,Boorara Fault
"1148",333446.724800452939235,6647890.411599149927497,437.814450000000022,Boorara Fault
"1149",333517.834130162897054,6647355.401252744719386,441.252589999999998,Boorara Fault
"1150",333585.198568885505665,6647059.830632057972252,441.836360000000013,Boorara Fault
"1151",333656.860664093983360,6646745.403460063971579,443.904449999999997,Boorara Fault
"1152",333795.887198025127873,6646135.405667383223772,445.983670000000018,Boorara Fault
"1153",333889.054504868458025,6645562.776122188195586,442.874329999999986,Boorara Fault
"1154",333982.221811711788177,6644990.146576993167400,439.076419999999985,Boorara Fault
"1155",334127.501217256241944,6644097.223053410649300,436.033290000000022,Boorara Fault
"1156",334240.811494872905314,6643170.663077115081251,434.964200000000005,Boorara Fault
"1157",334323.104348906606901,6642402.774383032694459,435.092620000000011,Boorara Fault
"1158",334385.249837923445739,6641822.884197371080518,434.954589999999996,Boorara Fault
"1159",334560.489544432959519,6640808.628456477075815,429.878199999999993,Boorara Fault
"1160",334735.729250967269763,6639794.372715589590371,428.766200000000026,Boorara Fault
"1161",335027.241250862251036,6638696.971699262037873,430.965329999999994,Boorara Fault
"1162",335207.467912076856010,6638065.208466738462448,432.185330000000022,Boorara Fault
"1163",335366.034320386708714,6637557.445227963849902,432.774110000000007,Boorara Fault
"1164",335607.656723287887871,6636783.719095450825989,440.069489999999973,Boorara Fault
"1165",335888.985769529594108,6635882.843877408653498,432.120060000000024,Boorara Fault
"1166",336074.983398536278401,6635364.618237468414009,432.916600000000017,Boorara Fault
"1167",336406.047746160824317,6634514.150255419313908,427.151889999999980,Boorara Fault
"1168",336983.629898936022073,6633574.392937087453902,424.723599999999976,Boorara Fault
"1169",337398.529371737735346,6632950.012260718271136,417.991489999999999,Boorara Fault
"1170",337813.428844539506827,6632325.631584350019693,416.075559999999996,Boorara Fault
"1171",338184.424441187409684,6631714.263753892853856,418.802889999999991,Boorara Fault
"1172",338555.420037835312542,6631102.895923435688019,403.101560000000006,Boorara Fault
"1173",338797.212018908932805,6630549.143436644226313,402.839139999999986,Boorara Fault
"1174",339150.314477096137125,6629688.128037291578948,396.156979999999976,Boorara Fault
"1175",339354.356598819722421,6629124.887467022985220,390.742549999999994,Boorara Fault
"1176",339039.003999982611276,6629995.390949853695929,408.012850000000014,Boorara Fault
"1177",339669.709197656833567,6628254.383984193205833,392.128910000000019,Boorara Fault
"1178",340415.524442663998343,6626852.750039078295231,378.134340000000009,Boorara Fault
"1179",341291.984259904827923,6625370.404573522508144,235.948520000000002,Boorara Fault
"1180",342067.737466103746556,6624172.652187740430236,365.917239999999993,Boorara Fault
"1183",340853.754351284413133,6626111.577306300401688,327.039089999999987,Boorara Fault
"1327",332086.048858063295484,6654099.461643042042851,393.984620000000007,Boorara Fault
"1328",332261.698584859841503,6653574.859287273138762,398.028050000000007,Boorara Fault
"1329",332407.854325386288110,6653037.951957672834396,401.058440000000019,Boorara Fault
"1330",332554.906937370251399,6652497.749944926239550,402.955840000000023,Boorara Fault
"1331",332786.433237085526343,6651635.469826740212739,409.016200000000026,Boorara Fault
"1332",332665.677917565626558,6652090.829553333111107,405.115599999999972,Boorara Fault
"1333",332889.313061793625820,6651198.027664937078953,414.849670000000003,Boorara Fault
"1334",333003.603068423224613,6650712.069726006127894,413.117709999999988,Boorara Fault
"1335",333121.433248766581528,6650121.948920260183513,418.899350000000027,Boorara Fault
"1336",333230.132016843301244,6649396.444238125346601,424.080989999999986,Boorara Fault
"1337",333084.648562943562865,6650367.466530695557594,416.949430000000007,Boorara Fault
"1338",333168.910667112562805,6649805.063182591460645,420.118260000000021,Boorara Fault
"1339",333283.300906396703795,6649041.571050531230867,426.074650000000020,Boorara Fault
"1340",333375.615470743039623,6648425.421945556066930,433.046839999999975,Boorara Fault
"1341",333446.724800452939235,6647890.411599149927497,437.814450000000022,Boorara Fault
"1342",333517.834130162897054,6647355.401252744719386,441.252589999999998,Boorara Fault
"1343",333585.198568885505665,6647059.830632057972252,441.836360000000013,Boorara Fault
"1344",333656.860664093983360,6646745.403460063971579,443.904449999999997,Boorara Fault
"1345",333795.887198025127873,6646135.405667383223772,445.983670000000018,Boorara Fault
"1346",333889.054504868458025,6645562.776122188195586,442.874329999999986,Boorara Fault
"1347",333982.221811711788177,6644990.146576993167400,439.076419999999985,Boorara Fault
"1348",334127.501217256241944,6644097.223053410649300,436.033290000000022,Boorara Fault
"1349",334240.811494872905314,6643170.663077115081251,434.964200000000005,Boorara Fault
"1350",334323.104348906606901,6642402.774383032694459,435.092620000000011,Boorara Fault
"1351",334385.249837923445739,6641822.884197371080518,434.954589999999996,Boorara Fault
"1352",334560.489544432959519,6640808.628456477075815,429.878199999999993,Boorara Fault
"1353",334735.729250967269763,6639794.372715589590371,428.766200000000026,Boorara Fault
"1354",335027.241250862251036,6638696.971699262037873,430.965329999999994,Boorara Fault
"1355",335207.467912076856010,6638065.208466738462448,432.185330000000022,Boorara Fault
"1356",335366.034320386708714,6637557.445227963849902,432.774110000000007,Boorara Fault
"1357",335607.656723287887871,6636783.719095450825989,440.069489999999973,Boorara Fault
"1358",335888.985769529594108,6635882.843877408653498,432.120060000000024,Boorara Fault
"1359",336074.983398536278401,6635364.618237468414009,432.916600000000017,Boorara Fault
"1360",336406.047746160824317,6634514.150255419313908,427.151889999999980,Boorara Fault
"1361",336983.629898936022073,6633574.392937087453902,424.723599999999976,Boorara Fault
"1362",337398.529371737735346,6632950.012260718271136,417.991489999999999,Boorara Fault
"1363",337813.428844539506827,6632325.631584350019693,416.075559999999996,Boorara Fault
"1364",338184.424441187409684,6631714.263753892853856,418.802889999999991,Boorara Fault
"1365",338555.420037835312542,6631102.895923435688019,403.101560000000006,Boorara Fault
"1366",338797.212018908932805,6630549.143436644226313,402.839139999999986,Boorara Fault
"1367",339150.314477096137125,6629688.128037291578948,396.156979999999976,Boorara Fault
"1368",339354.356598819722421,6629124.887467022985220,390.742549999999994,Boorara Fault
"1369",339039.003999982611276,6629995.390949853695929,408.012850000000014,Boorara Fault
"1370",339669.709197656833567,6628254.383984193205833,392.128910000000019,Boorara Fault
"1371",340415.524442663998343,6626852.750039078295231,378.134340000000009,Boorara Fault
"1372",341291.984259904827923,6625370.404573522508144,235.948520000000002,Boorara Fault
"1373",342067.737466103746556,6624172.652187740430236,365.917239999999993,Boorara Fault
"1376",340853.754351284413133,6626111.577306300401688,327.039089999999987,Boorara Fault
"1772",335207.467912076856010,6638065.208466738462448,432.185330000000022,Black Flag Fault
"1773",335060.201822823262773,6637317.652951875701547,438.104890000000012,Black Flag Fault
"1774",334912.935733569727745,6636570.097437013871968,438.156520000000000,Black Flag Fault
"1775",334779.094127977616154,6635608.873906212858856,434.123379999999997,Black Flag Fault
"1776",334576.558102523384150,6634339.648146701045334,426.970280000000002,Black Flag Fault
"1777",334387.524478766310494,6633043.417583794333041,424.799100000000010,Black Flag Fault
"1778",334293.007666887715459,6632287.283088766038418,430.933899999999994,Black Flag Fault
"1779",334266.002863493689802,6631166.583747921511531,411.781009999999981,Black Flag Fault
"1780",334130.978846524318215,6630005.377201984636486,406.059480000000008,Black Flag Fault
"1781",333801.865661718591582,6628443.185204447247088,402.058839999999975,Black Flag Fault
"1782",333599.405988151847851,6626854.840716790407896,396.032260000000008,Black Flag Fault
"1783",333276.843856417806819,6625343.883224774152040,394.130190000000027,Black Flag Fault
"1784",332657.259341591736302,6623814.889989030547440,378.981629999999996,Black Flag Fault
"1785",332006.985807870107237,6622623.383451761677861,374.000000000000000,Black Flag Fault
"1786",332941.863510570547078,6624372.381905356422067,385.013919999999985,Black Flag Fault
"1787",333549.229500000423286,6626301.913200000301003,395.833340000000021,Black Flag Fault
"1788",333725.761344076017849,6627846.128658395260572,400.929140000000018,Black Flag Fault
"1789",334029.710833797231317,6629252.618307378143072,403.169460000000015,Black Flag Fault
"1790",331268.931424999842420,6621332.779749999754131,337.000000000000000,Black Flag Fault
"1791",330431.308250069036148,6619826.665669332258403,343.000000000000000,Black Flag Fault
"1792",329829.364887329225894,6617612.121625892817974,351.000000000000000,Black Flag Fault
"1793",329534.559100000187755,6615567.146600000560284,381.000000000000000,Black Flag Fault
"1794",329123.427531085733790,6611488.868081434629858,372.000000000000000,Black Flag Fault
"1795",329271.802035838190932,6613459.871722594834864,367.000000000000000,Black Flag Fault
"1796",328864.091735974012408,6609819.522438410669565,373.512819999999977,Black Flag Fault
"1797",328497.715499999932945,6608082.389299999922514,380.163760000000025,Black Flag Fault
"1798",328270.163750315085053,6606500.628407601267099,367.078610000000026,Black Flag Fault
"1799",328042.612000630237162,6604918.867515202611685,366.013149999999996,Black Flag Fault
